"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Contact with hot drinks, food, fats and cooking oils"	"X10"	6	281421906	Unreliable
	"2000"	"2000"	"Contact with hot tap-water"	"X11"	55	281421906	0.0
	"2000"	"2000"	"Contact with other hot fluids"	"X12"	17	281421906	Unreliable
	"2000"	"2000"	"Contact with steam and hot vapours"	"X13"	3	281421906	Unreliable
	"2000"	"2000"	"Contact with hot air and gases"	"X14"	2	281421906	Unreliable
	"2000"	"2000"	"Contact with hot household appliances"	"X15"	5	281421906	Unreliable
	"2000"	"2000"	"Contact with hot heating appliances, radiators and pipes"	"X16"	10	281421906	Unreliable
	"2000"	"2000"	"Contact with hot engines, machinery and tools"	"X17"	4	281421906	Unreliable
	"2000"	"2000"	"Contact with other and unspecified heat and hot substances"	"X19"	8	281421906	Unreliable
	"2000"	"2000"	"Contact with venomous snakes and lizards"	"X20"	12	281421906	Unreliable
	"2000"	"2000"	"Contact with venomous spiders"	"X21"	5	281421906	Unreliable
	"2000"	"2000"	"Contact with scorpions"	"X22"	1	281421906	Unreliable
	"2000"	"2000"	"Contact with hornets, wasps and bees"	"X23"	54	281421906	0.0
	"2000"	"2000"	"Contact with other specified venomous arthropods"	"X25"	7	281421906	Unreliable
	"2000"	"2000"	"Contact with other specified venomous plants"	"X28"	1	281421906	Unreliable
	"2000"	"2000"	"Exposure to excessive natural heat"	"X30"	301	281421906	0.1
	"2000"	"2000"	"Exposure to excessive natural cold"	"X31"	742	281421906	0.3
	"2000"	"2000"	"Exposure to sunlight"	"X32"	1	281421906	Unreliable
	"2000"	"2000"	"Victim of lightning"	"X33"	50	281421906	0.0
	"2000"	"2000"	"Victim of earthquake"	"X34"	1	281421906	Unreliable
	"2000"	"2000"	"Victim of volcanic eruption"	"X35"	3	281421906	Unreliable
	"2000"	"2000"	"Victim of avalanche, landslide and other earth movements"	"X36"	31	281421906	0.0
	"2000"	"2000"	"Victim of cataclysmic storm"	"X37"	49	281421906	0.0
	"2000"	"2000"	"Victim of flood"	"X38"	5	281421906	Unreliable
	"2000"	"2000"	"Exposure to other and unspecified forces of nature"	"X39"	40	281421906	0.0
	"2000"	"2000"	"Overexertion and strenuous or repetitive movements"	"X50"	13	281421906	Unreliable
	"2000"	"2000"	"Lack of food"	"X53"	120	281421906	0.0
	"2000"	"2000"	"Lack of water"	"X54"	2	281421906	Unreliable
	"2000"	"2000"	"Unspecified privation"	"X57"	50	281421906	0.0
	"2000"	"2000"	"Exposure to other specified factors"	"X58"	56	281421906	0.0
	"2000"	"2000"	"Exposure to unspecified factor"	"X59"	6673	281421906	2.4
	"2000"	"2000"	"Sequelae of other accidents"	"Y86"	847	281421906	0.3
"Total"	"2000"	"2000"			17437	281421906	6.2
	"2001"	"2001"	"Struck by thrown, projected or falling object"	"W20"	707	284968955	0.2
	"2001"	"2001"	"Striking against or struck by sports equipment"	"W21"	11	284968955	Unreliable
	"2001"	"2001"	"Striking against or struck by other objects"	"W22"	135	284968955	0.0
	"2001"	"2001"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	116	284968955	0.0
	"2001"	"2001"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	87	284968955	0.0
	"2001"	"2001"	"Contact with sharp glass"	"W25"	16	284968955	Unreliable
	"2001"	"2001"	"Contact with knife, sword or dagger"	"W26"	3	284968955	Unreliable
	"2001"	"2001"	"Contact with nonpowered hand tool"	"W27"	4	284968955	Unreliable
	"2001"	"2001"	"Contact with powered lawnmower"	"W28"	45	284968955	0.0
	"2001"	"2001"	"Contact with other powered hand tools and household machinery"	"W29"	13	284968955	Unreliable
	"2001"	"2001"	"Contact with agricultural machinery"	"W30"	260	284968955	0.1
	"2001"	"2001"	"Contact with other and unspecified machinery"	"W31"	301	284968955	0.1
	"2001"	"2001"	"Explosion and rupture of boiler"	"W35"	1	284968955	Unreliable
	"2001"	"2001"	"Explosion and rupture of gas cylinder"	"W36"	14	284968955	Unreliable
	"2001"	"2001"	"Explosion and rupture of pressurized tyre, pipe or hose"	"W37"	12	284968955	Unreliable
	"2001"	"2001"	"Explosion and rupture of other specified pressurized devices"	"W38"	11	284968955	Unreliable
	"2001"	"2001"	"Discharge of firework"	"W39"	6	284968955	Unreliable
	"2001"	"2001"	"Explosion of other materials"	"W40"	138	284968955	0.0
	"2001"	"2001"	"Foreign body entering into or through eye or natural orifice"	"W44"	29	284968955	0.0
	"2001"	"2001"	"Foreign body or object entering through skin"	"W45"	4	284968955	Unreliable
	"2001"	"2001"	"Exposure to other and unspecified inanimate mechanical forces"	"W49"	37	284968955	0.0
	"2001"	"2001"	"Hit, struck, kicked, twisted, bitten or scratched by another person"	"W50"	31	284968955	0.0
	"2001"	"2001"	"Striking against or bumped into by another person"	"W51"	14	284968955	Unreliable
	"2001"	"2001"	"Bitten by rat"	"W53"	1	284968955	Unreliable
	"2001"	"2001"	"Bitten or struck by dog"	"W54"	25	284968955	0.0
	"2001"	"2001"	"Bitten or struck by other mammals"	"W55"	64	284968955	0.0
	"2001"	"2001"	"Contact with marine animal"	"W56"	2	284968955	Unreliable
	"2001"	"2001"	"Bitten or stung by nonvenomous insect and other nonvenomous arthropods"	"W57"	9	284968955	Unreliable
	"2001"	"2001"	"Bitten or struck by crocodile or alligator"	"W58"	5	284968955	Unreliable
	"2001"	"2001"	"Contact with plant thorns and spines and sharp leaves"	"W60"	1	284968955	Unreliable
	"2001"	"2001"	"Exposure to other and unspecified animate mechanical forces"	"W64"	8	284968955	Unreliable
	"2001"	"2001"	"Accidental suffocation and strangulation in bed"	"W75"	456	284968955	0.2
	"2001"	"2001"	"Other accidental hanging and strangulation"	"W76"	279	284968955	0.1
	"2001"	"2001"	"Threat to breathing due to cave-in, falling earth and other substances"	"W77"	56	284968955	0.0
	"2001"	"2001"	"Inhalation of gastric contents"	"W78"	422	284968955	0.1
	"2001"	"2001"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	742	284968955	0.3
	"2001"	"2001"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	3021	284968955	1.1
	"2001"	"2001"	"Confined to or trapped in a low-oxygen environment"	"W81"	20	284968955	0.0
	"2001"	"2001"	"Other specified threats to breathing"	"W83"	210	284968955	0.1
	"2001"	"2001"	"Unspecified threat to breathing"	"W84"	349	284968955	0.1
	"2001"	"2001"	"Exposure to electric transmission lines"	"W85"	83	284968955	0.0
	"2001"	"2001"	"Exposure to other specified electric current"	"W86"	146	284968955	0.1
	"2001"	"2001"	"Exposure to unspecified electric current"	"W87"	180	284968955	0.1
	"2001"	"2001"	"Exposure to excessive heat of man-made origin"	"W92"	7	284968955	Unreliable
	"2001"	"2001"	"Exposure to excessive cold of man-made origin"	"W93"	1	284968955	Unreliable
	"2001"	"2001"	"Exposure to high and low air pressure and changes in air pressure"	"W94"	13	284968955	Unreliable
	"2001"	"2001"	"Exposure to other and unspecified man-made environmental factors"	"W99"	1	284968955	Unreliable
	"2001"	"2001"	"Contact with hot drinks, food, fats and cooking oils"	"X10"	6	284968955	Unreliable
	"2001"	"2001"	"Contact with hot tap-water"	"X11"	57	284968955	0.0
	"2001"	"2001"	"Contact with other hot fluids"	"X12"	15	284968955	Unreliable
	"2001"	"2001"	"Contact with steam and hot vapours"	"X13"	2	284968955	Unreliable
	"2001"	"2001"	"Contact with hot air and gases"	"X14"	4	284968955	Unreliable
	"2001"	"2001"	"Contact with hot household appliances"	"X15"	5	284968955	Unreliable
	"2001"	"2001"	"Contact with hot heating appliances, radiators and pipes"	"X16"	11	284968955	Unreliable
	"2001"	"2001"	"Contact with other hot metals"	"X18"	2	284968955	Unreliable
	"2001"	"2001"	"Contact with other and unspecified heat and hot substances"	"X19"	12	284968955	Unreliable
	"2001"	"2001"	"Contact with venomous snakes and lizards"	"X20"	7	284968955	Unreliable
	"2001"	"2001"	"Contact with venomous spiders"	"X21"	5	284968955	Unreliable
	"2001"	"2001"	"Contact with scorpions"	"X22"	1	284968955	Unreliable
	"2001"	"2001"	"Contact with hornets, wasps and bees"	"X23"	43	284968955	0.0
	"2001"	"2001"	"Contact with other specified venomous arthropods"	"X25"	4	284968955	Unreliable
	"2001"	"2001"	"Contact with unspecified venomous animal or plant"	"X29"	1	284968955	Unreliable
	"2001"	"2001"	"Exposure to excessive natural heat"	"X30"	300	284968955	0.1
	"2001"	"2001"	"Exposure to excessive natural cold"	"X31"	599	284968955	0.2
	"2001"	"2001"	"Exposure to sunlight"	"X32"	3	284968955	Unreliable
	"2001"	"2001"	"Victim of lightning"	"X33"	44	284968955	0.0
	"2001"	"2001"	"Victim of avalanche, landslide and other earth movements"	"X36"	28	284968955	0.0
	"2001"	"2001"	"Victim of cataclysmic storm"	"X37"	54	284968955	0.0
	"2001"	"2001"	"Victim of flood"	"X38"	35	284968955	0.0
	"2001"	"2001"	"Exposure to other and unspecified forces of nature"	"X39"	37	284968955	0.0
	"2001"	"2001"	"Overexertion and strenuous or repetitive movements"	"X50"	8	284968955	Unreliable
	"2001"	"2001"	"Prolonged stay in weightless environment"	"X52"	1	284968955	Unreliable
	"2001"	"2001"	"Lack of food"	"X53"	87	284968955	0.0
	"2001"	"2001"	"Unspecified privation"	"X57"	41	284968955	0.0
	"2001"	"2001"	"Exposure to other specified factors"	"X58"	38	284968955	0.0
	"2001"	"2001"	"Exposure to unspecified factor"	"X59"	7218	284968955	2.5
	"2001"	"2001"	"Sequelae of other accidents"	"Y86"	996	284968955	0.3
"Total"	"2001"	"2001"			17760	284968955	6.2
	"2002"	"2002"	"Struck by thrown, projected or falling object"	"W20"	721	287625193	0.3
	"2002"	"2002"	"Striking against or struck by sports equipment"	"W21"	16	287625193	Unreliable
	"2002"	"2002"	"Striking against or struck by other objects"	"W22"	127	287625193	0.0
	"2002"	"2002"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	115	287625193	0.0
	"2002"	"2002"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	91	287625193	0.0
	"2002"	"2002"	"Contact with sharp glass"	"W25"	25	287625193	0.0
	"2002"	"2002"	"Contact with knife, sword or dagger"	"W26"	6	287625193	Unreliable
	"2002"	"2002"	"Contact with nonpowered hand tool"	"W27"	4	287625193	Unreliable
	"2002"	"2002"	"Contact with powered lawnmower"	"W28"	53	287625193	0.0
	"2002"	"2002"	"Contact with other powered hand tools and household machinery"	"W29"	17	287625193	Unreliable
	"2002"	"2002"	"Contact with agricultural machinery"	"W30"	289	287625193	0.1
	"2002"	"2002"	"Contact with other and unspecified machinery"	"W31"	272	287625193	0.1
	"2002"	"2002"	"Explosion and rupture of boiler"	"W35"	5	287625193	Unreliable
	"2002"	"2002"	"Explosion and rupture of gas cylinder"	"W36"	9	287625193	Unreliable
	"2002"	"2002"	"Explosion and rupture of pressurized tyre, pipe or hose"	"W37"	10	287625193	Unreliable
	"2002"	"2002"	"Explosion and rupture of other specified pressurized devices"	"W38"	3	287625193	Unreliable
	"2002"	"2002"	"Discharge of firework"	"W39"	5	287625193	Unreliable
	"2002"	"2002"	"Explosion of other materials"	"W40"	137	287625193	0.0
	"2002"	"2002"	"Foreign body entering into or through eye or natural orifice"	"W44"	19	287625193	Unreliable
	"2002"	"2002"	"Foreign body or object entering through skin"	"W45"	4	287625193	Unreliable
	"2002"	"2002"	"Exposure to other and unspecified inanimate mechanical forces"	"W49"	37	287625193	0.0
	"2002"	"2002"	"Hit, struck, kicked, twisted, bitten or scratched by another person"	"W50"	14	287625193	Unreliable
	"2002"	"2002"	"Striking against or bumped into by another person"	"W51"	12	287625193	Unreliable
	"2002"	"2002"	"Bitten or struck by dog"	"W54"	18	287625193	Unreliable
	"2002"	"2002"	"Bitten or struck by other mammals"	"W55"	75	287625193	0.0
	"2002"	"2002"	"Bitten or stung by nonvenomous insect and other nonvenomous arthropods"	"W57"	13	287625193	Unreliable
	"2002"	"2002"	"Exposure to other and unspecified animate mechanical forces"	"W64"	12	287625193	Unreliable
	"2002"	"2002"	"Accidental suffocation and strangulation in bed"	"W75"	509	287625193	0.2
	"2002"	"2002"	"Other accidental hanging and strangulation"	"W76"	297	287625193	0.1
	"2002"	"2002"	"Threat to breathing due to cave-in, falling earth and other substances"	"W77"	57	287625193	0.0
	"2002"	"2002"	"Inhalation of gastric contents"	"W78"	369	287625193	0.1
	"2002"	"2002"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	819	287625193	0.3
	"2002"	"2002"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	2940	287625193	1.0
	"2002"	"2002"	"Confined to or trapped in a low-oxygen environment"	"W81"	19	287625193	Unreliable
	"2002"	"2002"	"Other specified threats to breathing"	"W83"	203	287625193	0.1
	"2002"	"2002"	"Unspecified threat to breathing"	"W84"	304	287625193	0.1
	"2002"	"2002"	"Exposure to electric transmission lines"	"W85"	109	287625193	0.0
	"2002"	"2002"	"Exposure to other specified electric current"	"W86"	124	287625193	0.0
	"2002"	"2002"	"Exposure to unspecified electric current"	"W87"	198	287625193	0.1
	"2002"	"2002"	"Exposure to excessive heat of man-made origin"	"W92"	9	287625193	Unreliable
	"2002"	"2002"	"Exposure to excessive cold of man-made origin"	"W93"	1	287625193	Unreliable
	"2002"	"2002"	"Exposure to high and low air pressure and changes in air pressure"	"W94"	13	287625193	Unreliable
	"2002"	"2002"	"Contact with hot drinks, food, fats and cooking oils"	"X10"	8	287625193	Unreliable
	"2002"	"2002"	"Contact with hot tap-water"	"X11"	40	287625193	0.0
	"2002"	"2002"	"Contact with other hot fluids"	"X12"	15	287625193	Unreliable
	"2002"	"2002"	"Contact with steam and hot vapours"	"X13"	4	287625193	Unreliable
	"2002"	"2002"	"Contact with hot air and gases"	"X14"	2	287625193	Unreliable
	"2002"	"2002"	"Contact with hot household appliances"	"X15"	5	287625193	Unreliable
	"2002"	"2002"	"Contact with hot heating appliances, radiators and pipes"	"X16"	18	287625193	Unreliable
	"2002"	"2002"	"Contact with hot engines, machinery and tools"	"X17"	1	287625193	Unreliable
	"2002"	"2002"	"Contact with other hot metals"	"X18"	1	287625193	Unreliable
	"2002"	"2002"	"Contact with other and unspecified heat and hot substances"	"X19"	8	287625193	Unreliable
	"2002"	"2002"	"Contact with venomous snakes and lizards"	"X20"	3	287625193	Unreliable
	"2002"	"2002"	"Contact with venomous spiders"	"X21"	10	287625193	Unreliable
	"2002"	"2002"	"Contact with scorpions"	"X22"	1	287625193	Unreliable
	"2002"	"2002"	"Contact with hornets, wasps and bees"	"X23"	54	287625193	0.0
	"2002"	"2002"	"Contact with centipedes and venomous millipedes (tropical)"	"X24"	1	287625193	Unreliable
	"2002"	"2002"	"Contact with other specified venomous arthropods"	"X25"	7	287625193	Unreliable
	"2002"	"2002"	"Exposure to excessive natural heat"	"X30"	350	287625193	0.1
	"2002"	"2002"	"Exposure to excessive natural cold"	"X31"	646	287625193	0.2
	"2002"	"2002"	"Exposure to sunlight"	"X32"	1	287625193	Unreliable
	"2002"	"2002"	"Victim of lightning"	"X33"	66	287625193	0.0
	"2002"	"2002"	"Victim of avalanche, landslide and other earth movements"	"X36"	31	287625193	0.0
	"2002"	"2002"	"Victim of cataclysmic storm"	"X37"	63	287625193	0.0
	"2002"	"2002"	"Victim of flood"	"X38"	9	287625193	Unreliable
	"2002"	"2002"	"Exposure to other and unspecified forces of nature"	"X39"	53	287625193	0.0
	"2002"	"2002"	"Overexertion and strenuous or repetitive movements"	"X50"	10	287625193	Unreliable
	"2002"	"2002"	"Prolonged stay in weightless environment"	"X52"	1	287625193	Unreliable
	"2002"	"2002"	"Lack of food"	"X53"	78	287625193	0.0
	"2002"	"2002"	"Unspecified privation"	"X57"	39	287625193	0.0
	"2002"	"2002"	"Exposure to other specified factors"	"X58"	39	287625193	0.0
	"2002"	"2002"	"Exposure to unspecified factor"	"X59"	6550	287625193	2.3
	"2002"	"2002"	"Sequelae of other accidents"	"Y86"	1007	287625193	0.4
"Total"	"2002"	"2002"			17201	287625193	6.0
	"2003"	"2003"	"Struck by thrown, projected or falling object"	"W20"	692	290107933	0.2
	"2003"	"2003"	"Striking against or struck by sports equipment"	"W21"	10	290107933	Unreliable
	"2003"	"2003"	"Striking against or struck by other objects"	"W22"	107	290107933	0.0
	"2003"	"2003"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	136	290107933	0.0
	"2003"	"2003"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	115	290107933	0.0
	"2003"	"2003"	"Contact with sharp glass"	"W25"	22	290107933	0.0
	"2003"	"2003"	"Contact with knife, sword or dagger"	"W26"	8	290107933	Unreliable
	"2003"	"2003"	"Contact with nonpowered hand tool"	"W27"	5	290107933	Unreliable
